timestamp,strategy_id,side,price,quantity,z,notional,gf_before,gf_after,commission,order_id,limit_price
2025-08-29T10:05:51.924000+00:00,66638f5d,buy,4344.85,0.011,1,47.793350000000004,4510.64,4410.64,,8389765947374154848,4410.64
2025-08-30T02:30:16.247000+00:00,66638f5d,buy,4308.29,0.011,1,47.391189999999995,4410.64,4310.64,,8389765947866620000,4310.64
2025-08-31T02:35:14.310000+00:00,66638f5d,sell,4447.12,0.011,1,48.918319999999994,4310.64,4410.64,,8389765948413561601,4410.64
2025-09-04T17:05:18.160000+00:00,66638f5d,buy,4306.85,0.011,1,47.375350000000005,4410.64,4310.64,,8389765951701486411,4310.64,
2025-09-05T13:40:49.779000+00:00,66638f5d,sell,4451.72,0.011,1,48.96892,4310.64,4410.64,,8389765952296726400,4410.64,
2025-09-05T16:15:39.729000+00:00,66638f5d,buy,4291.0,0.011,1,47.201,4410.64,4310.64,,8389765952393315465,4310.64,
2025-09-11T20:07:57.929000+00:00,66638f5d,sell,4421.36,0.011,1,48.63495999999999,4309.03,4409.03,,8389765956295919171,4409.03,
2025-09-12T05:40:36.638000+00:00,66638f5d,sell,4519.46,0.011,1,49.714059999999996,4409.03,4509.03,,8389765956592116447,4509.03,
2025-09-12T20:20:11.525000+00:00,66638f5d,sell,4636.04,0.01,1,46.3604,4509.03,4609.03,,8389765957022803077,4609.03,
2025-09-13T01:45:38.669000+00:00,66638f5d,sell,4709.23,0.01,1,47.092299999999994,4609.03,4709.03,,8389765957196551915,4709.03,
2025-09-15T10:40:15.873000+00:00,66638f5d,buy,4521.02,0.01,1,45.21020000000001,4674.37,4574.37,,8389765958629089783,4574.37,
