timestamp,strategy_id,strategy_type,order_id,symbol,side,order_type,quantity,price,limit_price,status,action,message,error,execution_time_ms,grid_level,notional,binance_response2025-09-30T16:26:41.021047+00:00,7d225422,dca_ott,,DOGEUSDT,buy,market,109.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT buy 109.0,,,,
2025-10-01T10:10:57.812433+00:00,8123a773,dca_ott,,DOGEUSDT,sell,market,98.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT sell 98.0,,,,
2025-10-01T10:10:58.085659+00:00,8123a773,dca_ott,83269407812,DOGEUSDT,sell,market,98.0,,,sent,create,Market emir oluşturuldu: DOGEUSDT sell 98.0,,545,,
2025-10-01T11:55:20.256798+00:00,8123a773,dca_ott,,DOGEUSDT,buy,market,94.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT buy 94.0,,,,
2025-10-01T11:55:20.531373+00:00,8123a773,dca_ott,83275437603,DOGEUSDT,buy,market,94.0,,,sent,create,Market emir oluşturuldu: DOGEUSDT buy 94.0,,966,,
2025-10-01T14:22:34.019208+00:00,f688e233,dca_ott,,AVAXUSDT,buy,market,1.0,,,sending,create,Market emir gönderiliyor: AVAXUSDT buy 1.0,,,,
2025-10-01T14:22:34.292061+00:00,f688e233,dca_ott,33289701944,AVAXUSDT,buy,market,1.0,,,sent,create,Market emir oluşturuldu: AVAXUSDT buy 1.0,,540,,
2025-10-01T14:51:04.972383+00:00,fb13dd80,grid_ott,,DOGEUSDT,sell,limit,82.0,,0.2439,sending,create,Limit emir gönderiliyor: DOGEUSDT sell 82.0 @ 0.2439,,,,19.9998
2025-10-01T14:51:05.267688+00:00,fb13dd80,grid_ott,83288496869,DOGEUSDT,sell,limit,82.0,,0.2439,sent,create,Limit emir oluşturuldu: DOGEUSDT sell 82.0 @ 0.2439,,1194,,19.9998
2025-10-01T20:00:46.707895+00:00,8123a773,dca_ott,,DOGEUSDT,sell,market,94.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT sell 94.0,,,,
2025-10-01T20:00:46.983844+00:00,8123a773,dca_ott,83306645749,DOGEUSDT,sell,market,94.0,,,sent,create,Market emir oluşturuldu: DOGEUSDT sell 94.0,,548,,
2025-10-01T20:04:01.106936+00:00,fb13dd80,grid_ott,,DOGEUSDT,sell,limit,162.0,,0.2459,sending,create,Limit emir gönderiliyor: DOGEUSDT sell 162.0 @ 0.2459,,,,39.8358
2025-10-01T20:04:01.381808+00:00,fb13dd80,grid_ott,83306826421,DOGEUSDT,sell,limit,162.0,,0.2459,sent,create,Limit emir oluşturuldu: DOGEUSDT sell 162.0 @ 0.2459,,542,,39.8358
2025-10-01T20:30:29.882629+00:00,8123a773,dca_ott,,DOGEUSDT,buy,market,93.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT buy 93.0,,,,
2025-10-01T20:30:30.157459+00:00,8123a773,dca_ott,83308091520,DOGEUSDT,buy,market,93.0,,,sent,create,Market emir oluşturuldu: DOGEUSDT buy 93.0,,543,,
2025-10-02T08:03:21.646485+00:00,8123a773,dca_ott,,DOGEUSDT,sell,market,93.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT sell 93.0,,,,
2025-10-02T08:03:21.924168+00:00,8123a773,dca_ott,83350763068,DOGEUSDT,sell,market,93.0,,,sent,create,Market emir oluşturuldu: DOGEUSDT sell 93.0,,553,,
2025-10-02T08:25:47.418999+00:00,8123a773,dca_ott,,DOGEUSDT,buy,market,89.0,,,sending,create,Market emir gönderiliyor: DOGEUSDT buy 89.0,,,,
2025-10-02T08:25:47.697702+00:00,8123a773,dca_ott,83352193753,DOGEUSDT,buy,market,89.0,,,sent,create,Market emir oluşturuldu: DOGEUSDT buy 89.0,,945,,
